#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_57	6972	119	N	N	1	*	*,57,*
contig_7	6873	377	N	N	1	*	*,7,*
contig_75	6742	115	N	N	1	*	*,75,*
contig_64	6706	88	N	N	1	*	*,64,*
contig_103	6685	234	N	N	1	*	*,103,*
contig_40	6600	246	N	N	1	*	*,40,*
contig_53	6564	308	N	N	1	*	*,53,*
contig_5	6461	514	N	N	2	*	*,5,*
contig_46	6446	200	N	N	1	*	*,46,*
contig_10	6284	225	N	N	1	*	*,10,*
contig_122	6203	214	N	N	1	*	*,122,*
contig_20	6119	226	N	N	1	*	*,20,*
contig_106	6002	112	N	N	1	*	*,106,*
contig_127	5882	147	N	N	1	*	*,127,*
contig_87	5882	161	N	N	1	*	*,87,*
contig_45	5871	104	N	N	1	*	*,45,*
contig_60	5716	136	N	N	1	*	*,60,*
contig_149	5551	325	N	N	1	*	*,149,*
contig_37	5485	308	N	N	1	*	*,37,*
contig_25	5462	202	N	N	1	*	*,25,*
contig_73	5402	199	N	N	1	*	*,73,*
contig_32	5346	116	N	N	1	*	*,32,*
contig_9	5225	185	N	N	1	*	*,9,*
contig_123	5215	133	N	N	1	*	*,123,*
contig_28	5070	190	N	N	1	*	*,28,*
contig_115	5057	228	N	N	1	*	*,115,*
contig_104	5042	153	N	N	1	*	*,104,*
contig_51	4924	192	N	N	1	*	*,51,*
contig_86	4825	200	N	N	1	*	*,86,*
contig_137	4807	281	N	N	1	*	*,137,*
contig_21	4769	206	N	N	1	*	*,21,*
contig_121	4744	144	N	N	1	*	*,121,*
contig_24	4547	139	N	N	1	*	*,24,*
contig_124	4530	125	N	N	1	*	*,124,*
contig_52	4529	128	N	N	1	*	*,52,*
contig_35	4493	133	N	N	1	*	*,35,*
contig_12	4478	100	N	N	1	*	*,12,*
contig_119	4399	174	N	N	1	*	*,119,*
contig_71	4377	168	N	N	1	*	*,71,*
contig_112	4360	205	N	N	1	*	*,112,*
contig_61	4283	87	N	N	1	*	*,61,*
contig_145	4253	119	N	N	1	*	*,145,*
contig_1	4184	149	N	N	1	*	*,1,*
contig_49	4151	162	N	N	1	*	*,49,*
contig_56	4106	158	N	N	1	*	*,56,*
contig_134	3670	131	N	N	1	*	*,134,*
contig_54	3066	122	N	N	1	*	*,54,*
contig_74	3000	133	N	N	1	*	*,74,*
contig_13	2876	152	N	N	1	*	*,13,*
contig_100	2729	102	N	N	1	*	*,100,*
contig_44	2386	105	N	N	1	*	*,44,*
contig_65	2281	93	N	N	1	*	*,65,*
