accession	filename
GCA_017405925.1	GCA_017405925.1_ASM1740592v1_genomic.fna
GCA_017418975.1	GCA_017418975.1_ASM1741897v1_genomic.fna
GCA_017744835.1	GCA_017744835.1_ASM1774483v1_genomic.fna
GCA_017744855.1	GCA_017744855.1_ASM1774485v1_genomic.fna
GCA_017745215.1	GCA_017745215.1_ASM1774521v1_genomic.fna
GCA_017968845.1	GCA_017968845.1_ASM1796884v1_genomic.fna
GCA_018122655.1	GCA_018122655.1_ASM1812265v1_genomic.fna
GCA_018240825.1	GCA_018240825.1_ASM1824082v1_genomic.fna
GCA_018268435.1	GCA_018268435.1_ASM1826843v1_genomic.fna
GCA_018268455.1	GCA_018268455.1_ASM1826845v1_genomic.fna
GCA_018268515.1	GCA_018268515.1_ASM1826851v1_genomic.fna
GCA_018895315.1	GCA_018895315.1_ASM1889531v1_genomic.fna
GCA_019112965.1	GCA_019112965.1_ASM1911296v1_genomic.fna
GCA_019115335.1	GCA_019115335.1_ASM1911533v1_genomic.fna
GCA_019117025.1	GCA_019117025.1_ASM1911702v1_genomic.fna
GCA_019117325.1	GCA_019117325.1_ASM1911732v1_genomic.fna
GCA_019117545.1	GCA_019117545.1_ASM1911754v1_genomic.fna
GCA_019118275.1	GCA_019118275.1_ASM1911827v1_genomic.fna
GCA_900078385.1	GCA_900078385.1_MIPYR_PRJEB13036_v1_genomic.fna
GCA_902826325.1	GCA_902826325.1_RBC054_genomic.fna
GCA_903884945.1	GCA_903884945.1_freshwater_MAG_---_MJ130617B_bin-596_genomic.fna
GCF_000175935.2	GCF_000175935.2_ASM17593v2_genomic.fna
GCF_000178455.1	GCF_000178455.1_ASM17845v1_genomic.fna
GCF_000202635.1	GCF_000202635.1_ASM20263v1_genomic.fna
GCF_000225825.1	GCF_000225825.1_ASM22582v2_genomic.fna
GCF_000226955.1	GCF_000226955.1_ASM22695v2_genomic.fna
GCF_000241465.1	GCF_000241465.1_ASM24146v1_genomic.fna
GCF_000241485.1	GCF_000241485.1_ASM24148v1_genomic.fna
GCF_000251145.1	GCF_000251145.1_ASM25114v2_genomic.fna
GCF_000282895.1	GCF_000282895.1_ASM28289v1_genomic.fna
GCF_000285835.1	GCF_000285835.1_ASM28583v2_genomic.fna
GCF_000295955.2	GCF_000295955.2_ASM29595v2_genomic.fna
GCF_000304335.1	GCF_000304335.1_My_PS01_genomic.fna
GCF_000333395.1	GCF_000333395.1_ASM33339v1_genomic.fna
GCF_000382485.1	GCF_000382485.1_Mn802_genomic.fna
GCF_000383475.1	GCF_000383475.1_ASM38347v1_genomic.fna
GCF_000411455.1	GCF_000411455.1_Micr_sp_oral_taxon_186_F0373_V1_genomic.fna
GCF_000419605.1	GCF_000419605.1_ASM41960v1_genomic.fna
GCF_000422385.1	GCF_000422385.1_ASM42238v1_genomic.fna
GCF_000422405.1	GCF_000422405.1_ASM42240v1_genomic.fna
GCF_000422745.1	GCF_000422745.1_ASM42274v1_genomic.fna
GCF_000426445.1	GCF_000426445.1_ASM42644v1_genomic.fna
GCF_000427645.1	GCF_000427645.1_ASM42764v1_genomic.fna
GCF_000455825.1	GCF_000455825.1_ASM45582v1_genomic.fna
GCF_000576425.1	GCF_000576425.1_Braphev1_genomic.fna
GCF_000632225.1	GCF_000632225.1_Willow_Endophyte_RIT328_genomic.fna
GCF_000685355.1	GCF_000685355.1_Microbacteriumx4_genomic.fna
GCF_000710035.2	GCF_000710035.2_PA2665v2_genomic.fna
GCF_000712135.1	GCF_000712135.1_ASM71213v1_genomic.fna
GCF_000739895.2	GCF_000739895.2_ASM73989v2_genomic.fna
GCF_000763375.1	GCF_000763375.1_ASM76337v1_genomic.fna
GCF_000764535.1	GCF_000764535.1_ASM76453v1_genomic.fna
GCF_000786205.1	GCF_000786205.1_ASM78620v1_genomic.fna
GCF_000787715.1	GCF_000787715.1_ASM78771v1_genomic.fna
GCF_000797515.1	GCF_000797515.1_ASM79751v1_genomic.fna
GCF_000802305.1	GCF_000802305.1_ASM80230v1_genomic.fna
GCF_000803065.1	GCF_000803065.1_ASM80306v1_genomic.fna
GCF_000826185.2	GCF_000826185.2_Microbacterium_massiliensis_G3_genomic.fna
GCF_000935025.1	GCF_000935025.1_ASM93502v1_genomic.fna
GCF_000956405.1	GCF_000956405.1_ASM95640v1_genomic.fna
GCF_000956465.1	GCF_000956465.1_ASM95646v1_genomic.fna
GCF_000956475.1	GCF_000956475.1_ASM95647v1_genomic.fna
GCF_000956505.1	GCF_000956505.1_ASM95650v1_genomic.fna
GCF_000956525.1	GCF_000956525.1_ASM95652v1_genomic.fna
GCF_000956535.1	GCF_000956535.1_ASM95653v1_genomic.fna
GCF_000956545.1	GCF_000956545.1_ASM95654v1_genomic.fna
GCF_000967865.1	GCF_000967865.1_ASM96786v1_genomic.fna
GCF_000980895.1	GCF_000980895.1_ASM98089v1_genomic.fna
GCF_001049495.1	GCF_001049495.1_Microbacterium_sp._3J1_genomic.fna
GCF_001262495.1	GCF_001262495.1_GCS4v1_genomic.fna
GCF_001314225.1	GCF_001314225.1_ASM131422v1_genomic.fna
GCF_001421245.1	GCF_001421245.1_Leaf10_genomic.fna
GCF_001421355.1	GCF_001421355.1_Leaf9_genomic.fna
GCF_001421415.1	GCF_001421415.1_Leaf208_genomic.fna
GCF_001421505.1	GCF_001421505.1_Leaf17_genomic.fna
GCF_001421535.1	GCF_001421535.1_Leaf20_genomic.fna
GCF_001421715.1	GCF_001421715.1_Leaf22_genomic.fna
GCF_001421745.1	GCF_001421745.1_Leaf230_genomic.fna
GCF_001421765.1	GCF_001421765.1_Leaf32_genomic.fna
GCF_001421785.1	GCF_001421785.1_Leaf33_genomic.fna
GCF_001421805.1	GCF_001421805.1_Leaf34_genomic.fna
GCF_001421965.1	GCF_001421965.1_Leaf67_genomic.fna
GCF_001421995.1	GCF_001421995.1_Leaf231_genomic.fna
GCF_001422045.1	GCF_001422045.1_Leaf242_genomic.fna
GCF_001422925.1	GCF_001422925.1_Leaf288_genomic.fna
GCF_001423485.1	GCF_001423485.1_Leaf320_genomic.fna
GCF_001423615.1	GCF_001423615.1_Leaf159_genomic.fna
GCF_001423765.1	GCF_001423765.1_Leaf343_genomic.fna
GCF_001423845.1	GCF_001423845.1_Leaf357_genomic.fna
GCF_001424005.1	GCF_001424005.1_Leaf198_genomic.fna
GCF_001424225.1	GCF_001424225.1_Leaf151_genomic.fna
GCF_001425385.1	GCF_001425385.1_Leaf407_genomic.fna
GCF_001425405.1	GCF_001425405.1_Leaf412_genomic.fna
GCF_001426195.1	GCF_001426195.1_Leaf339_genomic.fna
GCF_001426925.1	GCF_001426925.1_Root53_genomic.fna
GCF_001426995.1	GCF_001426995.1_Root553_genomic.fna
GCF_001427145.1	GCF_001427145.1_Root166_genomic.fna
GCF_001427525.1	GCF_001427525.1_Root61_genomic.fna
GCF_001428485.1	GCF_001428485.1_Root180_genomic.fna
GCF_001428865.1	GCF_001428865.1_Root241_genomic.fna
GCF_001456955.1	GCF_001456955.1_ASM145695v1_genomic.fna
GCF_001476285.1	GCF_001476285.1_ASM147628v1_genomic.fna
GCF_001476655.1	GCF_001476655.1_ASM147665v1_genomic.fna
GCF_001476895.1	GCF_001476895.1_ASM147689v1_genomic.fna
GCF_001476905.1	GCF_001476905.1_ASM147690v1_genomic.fna
GCF_001477495.1	GCF_001477495.1_ASM147749v1_genomic.fna
GCF_001513675.1	GCF_001513675.1_ASM151367v1_genomic.fna
GCF_001552355.1	GCF_001552355.1_ASM155235v1_genomic.fna
GCF_001552475.1	GCF_001552475.1_ASM155247v1_genomic.fna
GCF_001555965.1	GCF_001555965.1_ASM155596v1_genomic.fna
GCF_001556185.1	GCF_001556185.1_ASM155618v1_genomic.fna
GCF_001557215.1	GCF_001557215.1_ASM155721v1_genomic.fna
GCF_001570805.1	GCF_001570805.1_ASM157080v1_genomic.fna
GCF_001584615.1	GCF_001584615.1_ASM158461v1_genomic.fna
GCF_001591005.1	GCF_001591005.1_ASM159100v1_genomic.fna
GCF_001591025.1	GCF_001591025.1_ASM159102v1_genomic.fna
GCF_001592125.1	GCF_001592125.1_ASM159212v1_genomic.fna
GCF_001598355.1	GCF_001598355.1_ASM159835v1_genomic.fna
GCF_001598415.1	GCF_001598415.1_ASM159841v1_genomic.fna
GCF_001598435.1	GCF_001598435.1_ASM159843v1_genomic.fna
GCF_001598455.1	GCF_001598455.1_ASM159845v1_genomic.fna
GCF_001598475.1	GCF_001598475.1_ASM159847v1_genomic.fna
GCF_001619615.1	GCF_001619615.1_ASM161961v1_genomic.fna
GCF_001619955.1	GCF_001619955.1_ASM161995v1_genomic.fna
GCF_001620065.1	GCF_001620065.1_ASM162006v1_genomic.fna
GCF_001644225.1	GCF_001644225.1_ASM164422v1_genomic.fna
GCF_001650405.1	GCF_001650405.1_ASM165040v1_genomic.fna
GCF_001650735.1	GCF_001650735.1_ASM165073v1_genomic.fna
GCF_001652465.1	GCF_001652465.1_ASM165246v1_genomic.fna
GCF_001691565.1	GCF_001691565.1_ASM169156v1_genomic.fna
GCF_001717955.1	GCF_001717955.1_ASM171795v1_genomic.fna
GCF_001721295.1	GCF_001721295.1_ASM172129v1_genomic.fna
GCF_001792815.1	GCF_001792815.1_ASM179281v1_genomic.fna
GCF_001815905.1	GCF_001815905.1_ASM181590v1_genomic.fna
GCF_001866135.1	GCF_001866135.1_ASM186613v1_genomic.fna
GCF_001878835.1	GCF_001878835.1_ASM187883v1_genomic.fna
GCF_001889265.1	GCF_001889265.1_ASM188926v1_genomic.fna
GCF_001969445.1	GCF_001969445.1_ASM196944v1_genomic.fna
GCF_001981525.1	GCF_001981525.1_ASM198152v1_genomic.fna
GCF_001984105.1	GCF_001984105.1_ASM198410v1_genomic.fna
GCF_002002925.1	GCF_002002925.1_ASM200292v1_genomic.fna
GCF_002024885.1	GCF_002024885.1_ASM202488v1_genomic.fna
GCF_002091475.1	GCF_002091475.1_ASM209147v1_genomic.fna
GCF_002095315.1	GCF_002095315.1_ASM209531v1_genomic.fna
GCF_002095465.1	GCF_002095465.1_ASM209546v1_genomic.fna
GCF_002117915.1	GCF_002117915.1_SpTZW2008_1.0_genomic.fna
GCF_002127225.1	GCF_002127225.1_ASM212722v1_genomic.fna
GCF_002197665.1	GCF_002197665.1_ASM219766v1_genomic.fna
GCF_002197685.1	GCF_002197685.1_ASM219768v1_genomic.fna
GCF_002216795.1	GCF_002216795.1_ASM221679v1_genomic.fna
GCF_002245215.1	GCF_002245215.1_ASM224521v1_genomic.fna
GCF_002288825.1	GCF_002288825.1_ASM228882v1_genomic.fna
GCF_002307475.1	GCF_002307475.1_ASM230747v1_genomic.fna
GCF_002332425.1	GCF_002332425.1_ASM233242v1_genomic.fna
GCF_002351485.1	GCF_002351485.1_ASM235148v1_genomic.fna
GCF_002362255.1	GCF_002362255.1_ASM236225v1_genomic.fna
GCF_002374835.1	GCF_002374835.1_ASM237483v1_genomic.fna
GCF_002374855.1	GCF_002374855.1_ASM237485v1_genomic.fna
GCF_002407065.1	GCF_002407065.1_ASM240706v1_genomic.fna
GCF_002407185.1	GCF_002407185.1_ASM240718v1_genomic.fna
GCF_002796605.1	GCF_002796605.1_ASM279660v1_genomic.fna
GCF_002797435.1	GCF_002797435.1_ASM279743v1_genomic.fna
GCF_002812725.1	GCF_002812725.1_ASM281272v1_genomic.fna
GCF_002812805.1	GCF_002812805.1_ASM281280v1_genomic.fna
GCF_002848265.1	GCF_002848265.1_ASM284826v1_genomic.fna
GCF_002871795.1	GCF_002871795.1_ASM287179v1_genomic.fna
GCF_002872075.1	GCF_002872075.1_ASM287207v1_genomic.fna
GCF_002970975.1	GCF_002970975.1_ASM297097v1_genomic.fna
GCF_002979415.1	GCF_002979415.1_ASM297941v1_genomic.fna
GCF_002979435.1	GCF_002979435.1_ASM297943v1_genomic.fna
GCF_002979475.1	GCF_002979475.1_ASM297947v1_genomic.fna
GCF_002979655.1	GCF_002979655.1_ASM297965v1_genomic.fna
GCF_003046295.1	GCF_003046295.1_ASM304629v1_genomic.fna
GCF_003050705.1	GCF_003050705.1_ASM305070v1_genomic.fna
GCF_003050745.1	GCF_003050745.1_ASM305074v1_genomic.fna
GCF_003053745.1	GCF_003053745.1_ASM305374v1_genomic.fna
GCF_003075375.1	GCF_003075375.1_ASM307537v1_genomic.fna
GCF_003075395.1	GCF_003075395.1_ASM307539v1_genomic.fna
GCF_003095395.1	GCF_003095395.1_ASM309539v1_genomic.fna
GCF_003096275.1	GCF_003096275.1_ASM309627v1_genomic.fna
GCF_003130585.1	GCF_003130585.1_ASM313058v1_genomic.fna
GCF_003171655.1	GCF_003171655.1_ASM317165v1_genomic.fna
GCF_003236715.1	GCF_003236715.1_ASM323671v1_genomic.fna
GCF_003254645.1	GCF_003254645.1_ASM325464v1_genomic.fna
GCF_003289625.1	GCF_003289625.1_ASM328962v1_genomic.fna
GCF_003293595.1	GCF_003293595.1_ASM329359v1_genomic.fna
GCF_003315415.1	GCF_003315415.1_ASM331541v1_genomic.fna
GCF_003327285.1	GCF_003327285.1_ASM332728v1_genomic.fna
GCF_003345355.1	GCF_003345355.1_ASM334535v1_genomic.fna
GCF_003347015.1	GCF_003347015.1_ASM334701v1_genomic.fna
GCF_003355005.1	GCF_003355005.1_ASM335500v1_genomic.fna
GCF_003355475.1	GCF_003355475.1_ASM335547v1_genomic.fna
GCF_003367705.1	GCF_003367705.1_ASM336770v1_genomic.fna
GCF_003387575.1	GCF_003387575.1_ASM338757v1_genomic.fna
GCF_003515075.1	GCF_003515075.1_ASM351507v1_genomic.fna
GCF_003550065.1	GCF_003550065.1_ASM355006v1_genomic.fna
GCF_003569805.1	GCF_003569805.1_ASM356980v1_genomic.fna
GCF_003610375.1	GCF_003610375.1_ASM361037v1_genomic.fna
GCF_003610405.1	GCF_003610405.1_ASM361040v1_genomic.fna
GCF_003626735.1	GCF_003626735.1_ASM362673v1_genomic.fna
GCF_003635115.1	GCF_003635115.1_ASM363511v1_genomic.fna
GCF_003651225.1	GCF_003651225.1_ASM365122v1_genomic.fna
GCF_003688595.1	GCF_003688595.1_ASM368859v1_genomic.fna
GCF_003688625.1	GCF_003688625.1_ASM368862v1_genomic.fna
GCF_003711805.1	GCF_003711805.1_ASM371180v1_genomic.fna
GCF_003850245.1	GCF_003850245.1_ASM385024v1_genomic.fna
GCF_003931875.1	GCF_003931875.1_ASM393187v1_genomic.fna
GCF_003951315.1	GCF_003951315.1_ASM395131v1_genomic.fna
GCF_003991875.1	GCF_003991875.1_ASM399187v1_genomic.fna
GCF_003994255.1	GCF_003994255.1_ASM399425v1_genomic.fna
GCF_003999995.1	GCF_003999995.1_ASM399999v1_genomic.fna
GCF_004010105.1	GCF_004010105.1_ASM401010v1_genomic.fna
GCF_004022425.1	GCF_004022425.1_ASM402242v1_genomic.fna
GCF_004101245.1	GCF_004101245.1_ASM410124v1_genomic.fna
GCF_004135285.1	GCF_004135285.1_ASM413528v1_genomic.fna
GCF_004135605.1	GCF_004135605.1_ASM413560v1_genomic.fna
GCF_004208535.1	GCF_004208535.1_ASM420853v1_genomic.fna
GCF_004340945.1	GCF_004340945.1_ASM434094v1_genomic.fna
GCF_004340965.1	GCF_004340965.1_ASM434096v1_genomic.fna
GCF_004341085.1	GCF_004341085.1_ASM434108v1_genomic.fna
GCF_004341505.2	GCF_004341505.2_ASM434150v2_genomic.fna
GCF_004345855.1	GCF_004345855.1_ASM434585v1_genomic.fna
GCF_004361835.1	GCF_004361835.1_ASM436183v1_genomic.fna
GCF_004362195.1	GCF_004362195.1_ASM436219v1_genomic.fna
GCF_004564075.1	GCF_004564075.1_ASM456407v1_genomic.fna
GCF_004564355.1	GCF_004564355.1_ASM456435v1_genomic.fna
GCF_004745075.1	GCF_004745075.1_ASM474507v1_genomic.fna
GCF_004745485.1	GCF_004745485.1_ASM474548v1_genomic.fna
GCF_004792685.1	GCF_004792685.1_ASM479268v1_genomic.fna
GCF_004792695.1	GCF_004792695.1_ASM479269v1_genomic.fna
GCF_004794315.1	GCF_004794315.1_ASM479431v1_genomic.fna
GCF_004794465.1	GCF_004794465.1_ASM479446v1_genomic.fna
GCF_004794515.1	GCF_004794515.1_ASM479451v1_genomic.fna
GCF_004795835.1	GCF_004795835.1_ASM479583v1_genomic.fna
GCF_004854025.1	GCF_004854025.1_ASM485402v1_genomic.fna
GCF_005144715.1	GCF_005144715.1_ASM514471v1_genomic.fna
GCF_005280295.1	GCF_005280295.1_ASM528029v1_genomic.fna
GCF_005347485.1	GCF_005347485.1_ASM534748v1_genomic.fna
GCF_005490785.1	GCF_005490785.1_ASM549078v1_genomic.fna
GCF_005502745.1	GCF_005502745.1_ASM550274v1_genomic.fna
GCF_005502885.1	GCF_005502885.1_ASM550288v1_genomic.fna
GCF_005503355.1	GCF_005503355.1_ASM550335v1_genomic.fna
GCF_005774735.1	GCF_005774735.1_ASM577473v1_genomic.fna
GCF_006346325.1	GCF_006346325.1_ASM634632v1_genomic.fna
GCF_006385575.1	GCF_006385575.1_ASM638557v1_genomic.fna
GCF_006438955.1	GCF_006438955.1_ASM643895v1_genomic.fna
GCF_006439055.1	GCF_006439055.1_ASM643905v1_genomic.fna
GCF_006489205.1	GCF_006489205.1_ASM648920v1_genomic.fna
GCF_006494415.1	GCF_006494415.1_ASM649441v1_genomic.fna
GCF_006539145.1	GCF_006539145.1_ASM653914v1_genomic.fna
GCF_006540085.1	GCF_006540085.1_ASM654008v1_genomic.fna
GCF_006715145.1	GCF_006715145.1_ASM671514v1_genomic.fna
GCF_006715565.1	GCF_006715565.1_ASM671556v1_genomic.fna
GCF_006716345.1	GCF_006716345.1_ASM671634v1_genomic.fna
GCF_006716815.1	GCF_006716815.1_ASM671681v1_genomic.fna
GCF_006783905.1	GCF_006783905.1_ASM678390v1_genomic.fna
GCF_007558825.1	GCF_007558825.1_ASM755882v1_genomic.fna
GCF_007667425.1	GCF_007667425.1_ASM766742v1_genomic.fna
GCF_007679045.1	GCF_007679045.1_ASM767904v1_genomic.fna
GCF_007833215.1	GCF_007833215.1_ASM783321v1_genomic.fna
GCF_007859635.1	GCF_007859635.1_ASM785963v1_genomic.fna
GCF_007954505.1	GCF_007954505.1_ASM795450v1_genomic.fna
GCF_007988825.1	GCF_007988825.1_ASM798882v1_genomic.fna
GCF_007992455.1	GCF_007992455.1_ASM799245v1_genomic.fna
GCF_007995065.1	GCF_007995065.1_ASM799506v1_genomic.fna
GCF_008017415.1	GCF_008017415.1_ASM801741v1_genomic.fna
GCF_008017445.1	GCF_008017445.1_ASM801744v1_genomic.fna
GCF_008271365.1	GCF_008271365.1_ASM827136v1_genomic.fna
GCF_008710705.1	GCF_008710705.1_ASM871070v1_genomic.fna
GCF_008710745.1	GCF_008710745.1_ASM871074v1_genomic.fna
GCF_008727755.1	GCF_008727755.1_ASM872775v1_genomic.fna
GCF_008727775.1	GCF_008727775.1_ASM872777v1_genomic.fna
GCF_008763945.1	GCF_008763945.1_FS54_genomic.fna
GCF_008801695.1	GCF_008801695.1_ASM880169v1_genomic.fna
GCF_008868005.1	GCF_008868005.1_ASM886800v1_genomic.fna
GCF_009299795.1	GCF_009299795.1_ASM929979v1_genomic.fna
GCF_009649635.1	GCF_009649635.1_ASM964963v1_genomic.fna
GCF_009735645.1	GCF_009735645.1_ASM973564v1_genomic.fna
GCF_009745985.1	GCF_009745985.1_ASM974598v1_genomic.fna
GCF_009758255.1	GCF_009758255.1_ASM975825v1_genomic.fna
GCF_009789535.1	GCF_009789535.1_ASM978953v1_genomic.fna
GCF_009857845.1	GCF_009857845.1_ASM985784v1_genomic.fna
GCF_010450875.1	GCF_010450875.1_ASM1045087v1_genomic.fna
GCF_010634855.1	GCF_010634855.1_ASM1063485v1_genomic.fna
GCF_011046485.1	GCF_011046485.1_ASM1104648v1_genomic.fna
GCF_011046975.1	GCF_011046975.1_ASM1104697v1_genomic.fna
GCF_011047135.1	GCF_011047135.1_ASM1104713v1_genomic.fna
GCF_011057975.1	GCF_011057975.1_ASM1105797v1_genomic.fna
GCF_011326725.1	GCF_011326725.1_ASM1132672v1_genomic.fna
GCF_011617245.1	GCF_011617245.1_ASM1161724v1_genomic.fna
GCF_011617465.1	GCF_011617465.1_ASM1161746v1_genomic.fna
GCF_011617705.1	GCF_011617705.1_ASM1161770v1_genomic.fna
GCF_011752045.1	GCF_011752045.1_ASM1175204v1_genomic.fna
GCF_011759705.1	GCF_011759705.1_ASM1175970v1_genomic.fna
GCF_011761265.1	GCF_011761265.1_ASM1176126v1_genomic.fna
GCF_011761945.1	GCF_011761945.1_ASM1176194v1_genomic.fna
GCF_011927635.1	GCF_011927635.1_ASM1192763v1_genomic.fna
GCF_011927955.1	GCF_011927955.1_ASM1192795v1_genomic.fna
GCF_012035195.1	GCF_012035195.1_ASM1203519v1_genomic.fna
GCF_012524205.1	GCF_012524205.1_ASM1252420v1_genomic.fna
GCF_012650175.1	GCF_012650175.1_ASM1265017v1_genomic.fna
GCF_012844365.1	GCF_012844365.1_ASM1284436v1_genomic.fna
GCF_012847295.1	GCF_012847295.1_ASM1284729v1_genomic.fna
GCF_012927115.1	GCF_012927115.1_ASM1292711v1_genomic.fna
GCF_013004595.1	GCF_013004595.1_ASM1300459v1_genomic.fna
GCF_013280495.1	GCF_013280495.1_ASM1328049v1_genomic.fna
GCF_013282805.1	GCF_013282805.1_ASM1328280v1_genomic.fna
GCF_013328205.1	GCF_013328205.1_ASM1332820v1_genomic.fna
GCF_013344685.1	GCF_013344685.1_ASM1334468v1_genomic.fna
GCF_013374095.1	GCF_013374095.1_ASM1337409v1_genomic.fna
GCF_013374115.1	GCF_013374115.1_ASM1337411v1_genomic.fna
GCF_013389665.1	GCF_013389665.1_ASM1338966v1_genomic.fna
GCF_013409745.1	GCF_013409745.1_ASM1340974v1_genomic.fna
GCF_013409785.1	GCF_013409785.1_ASM1340978v1_genomic.fna
GCF_013409985.1	GCF_013409985.1_ASM1340998v1_genomic.fna
GCF_013410955.1	GCF_013410955.1_ASM1341095v1_genomic.fna
GCF_013415305.1	GCF_013415305.1_ASM1341530v1_genomic.fna
GCF_013416555.1	GCF_013416555.1_ASM1341655v1_genomic.fna
GCF_013623835.1	GCF_013623835.1_ASM1362383v1_genomic.fna
GCF_013623905.1	GCF_013623905.1_ASM1362390v1_genomic.fna
GCF_014084045.1	GCF_014084045.1_ASM1408404v1_genomic.fna
GCF_014155765.1	GCF_014155765.1_ASM1415576v1_genomic.fna
GCF_014171475.1	GCF_014171475.1_ASM1417147v1_genomic.fna
GCF_014171575.1	GCF_014171575.1_ASM1417157v1_genomic.fna
GCF_014192415.1	GCF_014192415.1_ASM1419241v1_genomic.fna
GCF_014193845.1	GCF_014193845.1_ASM1419384v1_genomic.fna
GCF_014194975.1	GCF_014194975.1_ASM1419497v1_genomic.fna
GCF_014196115.1	GCF_014196115.1_ASM1419611v1_genomic.fna
GCF_014196255.1	GCF_014196255.1_ASM1419625v1_genomic.fna
GCF_014196745.1	GCF_014196745.1_ASM1419674v1_genomic.fna
GCF_014197105.1	GCF_014197105.1_ASM1419710v1_genomic.fna
GCF_014197135.1	GCF_014197135.1_ASM1419713v1_genomic.fna
GCF_014199255.1	GCF_014199255.1_ASM1419925v1_genomic.fna
GCF_014199305.1	GCF_014199305.1_ASM1419930v1_genomic.fna
GCF_014199325.1	GCF_014199325.1_ASM1419932v1_genomic.fna
GCF_014199335.1	GCF_014199335.1_ASM1419933v1_genomic.fna
GCF_014199415.1	GCF_014199415.1_ASM1419941v1_genomic.fna
GCF_014199595.1	GCF_014199595.1_ASM1419959v1_genomic.fna
GCF_014199625.1	GCF_014199625.1_ASM1419962v1_genomic.fna
GCF_014204495.1	GCF_014204495.1_ASM1420449v1_genomic.fna
GCF_014204755.1	GCF_014204755.1_ASM1420475v1_genomic.fna
GCF_014204835.1	GCF_014204835.1_ASM1420483v1_genomic.fna
GCF_014205075.1	GCF_014205075.1_ASM1420507v1_genomic.fna
GCF_014208045.1	GCF_014208045.1_ASM1420804v1_genomic.fna
