#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_58	7867	244	N	N	1	*	*,58,*
contig_132	7803	386	N	N	1	*	*,132,*
contig_127	7787	83	N	N	1	*	*,127,*
contig_128	7759	132	N	N	1	*	*,128,*
contig_103	7693	126	N	N	1	*	*,103,*
contig_141	7661	170	N	N	1	*	*,141,*
contig_99	7659	488	N	N	1	*	*,99,*
contig_125	7628	170	N	N	1	*	*,125,*
contig_29	7593	303	N	N	1	*	*,29,*
contig_5	7554	182	N	N	1	*	*,5,*
contig_35	7508	280	N	N	1	*	*,35,*
contig_54	7467	168	N	N	1	*	*,54,*
contig_98	7464	139	N	N	1	*	*,98,*
contig_120	7454	159	N	N	1	*	*,120,*
contig_114	7404	217	N	N	1	*	*,114,*
contig_90	7289	156	N	N	1	*	*,90,*
contig_19	7240	100	N	N	1	*	*,19,*
contig_107	7178	122	N	N	1	*	*,107,*
contig_117	7072	179	N	N	1	*	*,117,*
contig_80	7056	165	N	N	1	*	*,80,*
contig_30	7046	118	N	N	1	*	*,30,*
contig_75	7038	126	N	N	1	*	*,75,*
contig_130	6950	174	N	N	1	*	*,130,*
contig_76	6909	130	N	N	1	*	*,76,*
contig_101	6907	128	N	N	1	*	*,101,*
contig_43	6802	122	N	N	1	*	*,43,*
contig_77	6686	169	N	N	1	*	*,77,*
contig_9	6659	107	N	N	1	*	*,9,*
contig_106	6567	209	N	N	1	*	*,106,*
contig_134	6566	242	N	N	1	*	*,134,*
contig_16	6551	301	N	N	1	*	*,16,*
contig_69	6506	161	N	N	1	*	*,69,*
contig_95	6194	112	N	N	1	*	*,95,*
contig_138	5947	125	N	N	1	*	*,138,*
contig_37	5839	186	N	N	1	*	*,37,*
contig_112	5701	150	N	N	1	*	*,112,*
contig_24	5433	178	N	N	1	*	*,24,*
contig_104	5348	162	N	N	1	*	*,104,*
contig_17	5260	107	N	N	1	*	*,17,*
contig_71	5095	246	N	N	1	*	*,71,*
contig_102	5078	126	N	N	1	*	*,102,*
contig_143	4835	206	N	N	1	*	*,143,*
contig_68	4676	134	N	N	1	*	*,68,*
contig_81	3975	145	N	N	1	*	*,81,*
contig_121	3917	130	N	N	1	*	*,121,*
contig_140	3485	139	N	N	2	*	*,140,*
contig_25	3395	226	N	N	1	*	*,25,*
